NOC,Sport,Medal_Increase_With_Coach
SWE,Fencing,9.60707304490634
SWE,Figure Skating,11.136781454144375
SWE,Football,8.951483726661468
SWE,Gymnastics,3.7067691807024925
SWE,Sailing,9.170013499409759
SWE,Swimming,7.858834862920015
SWE,Tennis,10.699721908647792
SWE,Tug-Of-War,10.262662363151211
SWE,Water Polo,10.481192135899501
SWE,Wrestling,9.82560281765463
USA,Archery,11.573840999640955
USA,Cycling,10.699721908647792
USA,Diving,11.136781454144375
USA,Figure Skating,11.792370772389246
USA,Jeu De Paume,11.573840999640957
USA,Shooting,4.799418044443945
USA,Swimming,8.951483726661468
USA,Tug-Of-War,10.262662363151211
USA,Wrestling,10.699721908647792
ANZ,Athletics,10.481192135899501
ANZ,Rowing,9.82560281765463
ANZ,Swimming,7.640305090171724
ANZ,Tennis,11.792370772389246
AUT,Athletics,6.11059668093369
AUT,Cycling,9.38854327215805
AUT,Diving,11.792370772389246
AUT,Fencing,7.421775317423432
AUT,Football,8.732953953913178
AUT,Modern Pentathlon,11.792370772389246
AUT,Rowing,10.699721908647792
AUT,Shooting,8.732953953913176
AUT,Swimming,8.951483726661468
AUT,Tennis,10.918251681396082
AUT,Water Polo,10.481192135899501
AUT,Wrestling,10.262662363151211
BEL,Art Competitions,11.792370772389246
BEL,Athletics,11.355311226892665
BEL,Cycling,11.792370772389246
BEL,Equestrianism,8.732953953913176
BEL,Fencing,5.455007362688817
BEL,Rowing,10.699721908647792
BEL,Swimming,10.699721908647792
BEL,Water Polo,10.04413259040292
BEL,Wrestling,11.792370772389246
BOH,Art Competitions,11.792370772389246
BOH,Athletics,8.732953953913176
BOH,Cycling,9.82560281765463
BOH,Fencing,6.11059668093369
BOH,Gymnastics,11.792370772389246
BOH,Rowing,11.792370772389246
BOH,Tennis,8.732953953913176
BOH,Wrestling,11.136781454144375
CAN,Art Competitions,11.792370772389246
CAN,Athletics,3.488239407954202
CAN,Cycling,11.573840999640955
CAN,Diving,11.355311226892665
CAN,Rowing,9.82560281765463
CAN,Shooting,11.355311226892665
CAN,Swimming,11.573840999640955
CHI,Athletics,9.82560281765463
CHI,Cycling,10.262662363151211
CHI,Equestrianism,11.573840999640957
CHI,Shooting,10.262662363151211
DEN,Athletics,7.421775317423432
DEN,Cycling,8.514424181164886
DEN,Equestrianism,10.262662363151211
DEN,Fencing,6.766185999178561
DEN,Football,8.732953953913176
DEN,Gymnastics,0.2102928167298419
DEN,Modern Pentathlon,11.136781454144375
DEN,Rowing,8.514424181164886
DEN,Sailing,11.355311226892665
DEN,Shooting,3.051179862457621
DEN,Swimming,11.573840999640955
DEN,Tennis,7.640305090171723
DEN,Wrestling,10.04413259040292
FIN,Cycling,9.82560281765463
FIN,Diving,9.60707304490634
FIN,Football,9.170013499409759
FIN,Gymnastics,6.54765622643027
FIN,Rowing,10.699721908647792
FIN,Sailing,6.110596680933689
FIN,Shooting,3.7067691807024925
FIN,Swimming,10.04413259040292
FIN,Wrestling,3.925298953450782
FRA,Art Competitions,9.82560281765463
FRA,Cycling,6.766185999178561
FRA,Equestrianism,8.077364635668305
FRA,Gymnastics,10.699721908647792
FRA,Modern Pentathlon,11.573840999640957
FRA,Rowing,7.858834862920015
FRA,Sailing,11.355311226892665
FRA,Swimming,11.355311226892665
FRA,Tennis,9.38854327215805
FRA,Water Polo,10.262662363151211
FRA,Wrestling,10.699721908647792
GBR,Art Competitions,11.355311226892665
GBR,Cycling,0.6473523622264228
GBR,Diving,11.136781454144375
GBR,Equestrianism,9.60707304490634
GBR,Fencing,3.051179862457621
GBR,Football,8.951483726661468
GBR,Gymnastics,5.673537135437107
GBR,Modern Pentathlon,11.355311226892665
GBR,Rowing,6.766185999178561
GBR,Swimming,5.017947817192236
GBR,Tennis,6.54765622643027
GBR,Tug-Of-War,10.262662363151211
GBR,Water Polo,10.481192135899501
GBR,Wrestling,9.38854327215805
GER,Art Competitions,11.573840999640957
GER,Cycling,7.203245544675142
GER,Diving,9.60707304490634
GER,Equestrianism,7.203245544675142
GER,Fencing,4.799418044443945
GER,Football,7.203245544675141
GER,Gymnastics,4.143828726199073
GER,Modern Pentathlon,11.792370772389246
GER,Rowing,6.54765622643027
GER,Shooting,6.54765622643027
GER,Swimming,5.455007362688817
GER,Tennis,9.170013499409759
GER,Wrestling,8.951483726661468
GRE,Athletics,10.481192135899501
GRE,Fencing,8.951483726661468
GRE,Shooting,0.2102928167298419
GRE,Swimming,11.792370772389246
GRE,Wrestling,11.792370772389246
HUN,Athletics,1.5214714532195863
HUN,Cycling,9.82560281765463
HUN,Fencing,5.455007362688817
HUN,Football,8.951483726661468
HUN,Gymnastics,7.640305090171724
HUN,Rowing,9.60707304490634
HUN,Shooting,4.580888271695655
HUN,Swimming,8.732953953913176
HUN,Tennis,10.262662363151211
HUN,Water Polo,10.481192135899501
HUN,Wrestling,9.82560281765463
ISL,Athletics,11.792370772389246
ISL,Wrestling,11.792370772389246
ITA,Art Competitions,11.136781454144375
ITA,Athletics,6.54765622643027
ITA,Diving,11.573840999640955
ITA,Fencing,8.514424181164886
ITA,Football,8.951483726661468
ITA,Gymnastics,6.766185999178561
ITA,Swimming,10.918251681396082
ITA,Wrestling,10.699721908647792
JPN,Athletics,11.136781454144375
LUX,Athletics,11.355311226892665
LUX,Gymnastics,3.051179862457622
NED,Athletics,11.573840999640955
NED,Fencing,7.203245544675142
NED,Football,8.732953953913176
NED,Modern Pentathlon,11.792370772389246
NED,Shooting,11.792370772389246
NED,Tennis,11.792370772389246
NED,Wrestling,11.355311226892665
NOR,Athletics,3.925298953450782
NOR,Cycling,9.38854327215805
NOR,Diving,11.136781454144375
NOR,Equestrianism,11.136781454144375
NOR,Fencing,8.951483726661468
NOR,Football,9.38854327215805
NOR,Gymnastics,1.9585309987161672
NOR,Modern Pentathlon,11.573840999640957
NOR,Rowing,5.673537135437107
NOR,Sailing,8.077364635668305
NOR,Shooting,0.2102928167298419
NOR,Swimming,10.262662363151211
NOR,Tennis,8.951483726661468
NOR,Wrestling,10.04413259040292
POL,Art Competitions,11.792370772389246
POR,Athletics,10.918251681396082
POR,Fencing,11.792370772389246
POR,Wrestling,11.573840999640957
RSA,Athletics,9.170013499409759
RSA,Cycling,11.792370772389246
RSA,Fencing,11.355311226892665
RSA,Shooting,4.799418044443946
RSA,Swimming,11.792370772389246
RSA,Tennis,10.918251681396082
RUS,Art Competitions,11.792370772389246
RUS,Athletics,3.488239407954202
RUS,Cycling,7.640305090171723
RUS,Diving,11.792370772389246
RUS,Equestrianism,9.60707304490634
RUS,Fencing,2.1770607714644568
RUS,Football,8.732953953913178
RUS,Gymnastics,11.136781454144375
RUS,Modern Pentathlon,10.918251681396082
RUS,Rowing,11.792370772389246
RUS,Sailing,8.295894408416594
RUS,Swimming,10.699721908647792
RUS,Tennis,11.355311226892665
RUS,Wrestling,9.60707304490634
SRB,Athletics,11.573840999640957
SUI,Art Competitions,10.699721908647792
SUI,Athletics,11.792370772389246
SWE,Cycling,6.766185999178561
SWE,Diving,2.6141203169610385
SWE,Equestrianism,6.766185999178562
SWE,Fencing,5.892066908185399
SWE,Football,8.951483726661468
SWE,Gymnastics,6.766185999178561
SWE,Modern Pentathlon,9.38854327215805
SWE,Rowing,4.799418044443946
